序号,Key,Title,DOI,Journal,Date,_窗判定
143,IGM5ZZ4D,"A novel forensic protocol for age reversal facial approximation from elderly skulls using computed tomography scans, CAD techniques and anthropometric data.",10.1016/j.forsciint.2026.112960,Forensic Sci Int,2026/08,2026-08
115,ZMGIR34S,TAPSeg: An open-source deep learning tool for instance-level tooth and pulp segmentation in CBCT.,10.1016/j.jdent.2026.106643,J Dent,2026/08,2026-08
2433,YK4VFHX3,RapidNAM: Algorithm for the Semi-Automated Generation of Nasoalveolar Molding Device Designs for the Presurgical Treatment of Bilateral Cleft Lip and Palate,10.1109/TBME.2019.2934907,,2020/05,2020-05
